name,position,games played,game minutes,points,FG Percentage,three point percentage,FT Percentage,img
James Harden,1,51,37.4,36.5,0.444,0.375,0.867,https://cdn.vox-cdn.com/thumbor/YPjU2lPZ4bXtP1uR8Vr1hFFsC3M=/0x0:3000x2289/1200x800/filters:focal(1084x314:1564x794)/cdn.vox-cdn.com/uploads/chorus_image/image/59402569/usa_today_10788153.0.jpg
Anthony Davis,4,41,37,29.3,0.508,0.325,0.812,http://images.performgroup.com/di/library/omnisport/8e/99/anthony-davis-usnews-012219-ftr-gettyjpg_ww68s5rppt8n1k2id2revgj0u.jpg?t=2023033608&w=660&quality=60
Stephen Curry,1,42,34.2,28.9,0.495,0.452,0.92,https://secure.warriorsteamstore.com/mediacontent//2018/03/19/18/CURRPHS020002_192540.jpg
Paul George,3,52,36.1,28,0.45,0.406,0.833,https://mk0slamonlinensgt39k.kinstacdn.com/wp-content/uploads/2018/07/PGsite.jpg
Joel Embiid,5,50,33.7,27.4,0.483,0.299,0.807,https://imagesvc.timeincapp.com/v3/fan/image?url=http://hoopshabit.com/wp-content/uploads/getty-images/2018/02/918181828-new-york-knicks-v-philadelphia-76ers.jpg-850x560.jpg&c=sc&w=590&h=389
Kevin Durant,3,53,35.4,27.4,0.507,0.372,0.908,https://clutchpoints.com/wp-content/uploads/2019/01/new-york-has-a-strong-chance-of-luring-kevin-durant-should-he-leave-warriors.jpg
Kawhi Leonard,3,41,34.9,27.3,0.496,0.371,0.862,https://cdn.vox-cdn.com/thumbor/7hfbPq6_4g8J-FPKhT5wkl-d9PU=/0x0:2637x1842/1200x800/filters:focal(515x334:935x754)/cdn.vox-cdn.com/uploads/chorus_image/image/62665544/1052416444.jpg.0.jpg
Giannis Antetokounmpo,4,50,33.1,27,0.578,0.213,0.714,http://images.performgroup.com/di/library/omnisport/7/ba/antetokounmpo-giannis-10272018-getty-ftrjpg_cxl2r8uhkgp61tpz2te54c5p1.jpg?t=-1203039610&w=960&quality=70
Damian Lillard,1,52,35.3,26.2,0.448,0.368,0.906,https://www.wweek.com/resizer/VjbeLB0E1kC-EP4vzYwXXiSIZEg=/1200x0/filters:quality(100)/s3.amazonaws.com/arc-wordpress-client-uploads/wweek/wp-content/uploads/2017/09/22132838/DameVegan2.jpg
Blake Griffin,4,51,36.3,26.1,0.477,0.363,0.76,https://s.yimg.com/ny/api/res/1.2/N6M8y5O_bwRt0CjnZMqFFQ--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9ODAw/http://media.zenfs.com/en/homerun/feed_manager_auto_publish_494/46d3f451efc8d015062015a86054ede0
Devin Booker,2,42,34.8,24.9,0.463,0.324,0.844,https://cdn.vox-cdn.com/thumbor/UO3qXWZAvCwpphNUOvBLTaT6gtU=/0x0:2154x3000/1200x800/filters:focal(927x735:1271x1079)/cdn.vox-cdn.com/uploads/chorus_image/image/60298215/919693360.jpg.0.jpg
Bradley Beal,2,54,37.1,24.9,0.47,0.352,0.794,https://cdn.vox-cdn.com/thumbor/4w7SspLHcVdtPfJVcMYXxdaSPbQ=/0x0:5472x3648/1200x800/filters:focal(2134x394:3008x1268)/cdn.vox-cdn.com/uploads/chorus_image/image/62839775/1093715368.jpg.0.jpg
Kemba Walker,1,54,34.4,24.8,0.434,0.362,0.83,"https://i.kinja-img.com/gawker-media/image/upload/s--SGJ6e5_5--/c_scale,f_auto,fl_progressive,q_80,w_800/gybgk2f8jiokw0sqgjiq.jpg"
Kyrie Irving,1,45,32.8,23.8,0.503,0.408,0.853,https://i.ytimg.com/vi/ViPJdVvtbHQ/maxresdefault.jpg
Zach LaVine,1,47,33.8,22.9,0.455,0.345,0.859,https://s.yimg.com/ny/api/res/1.2/cnPu2bxNcpG80vUzQicaSg--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9ODAw/http://media.zenfs.com/en/homerun/feed_manager_auto_publish_494/c4e0c35bdcb0498a4552fd0e71c60569
Karl-Anthony Towns,5,53,33.2,22.8,0.502,0.373,0.845,https://cdn.vox-cdn.com/thumbor/dFha86O4p1okLcoGzXrSi4Crx4M=/0x0:3642x2645/1200x800/filters:focal(1540x145:2122x727)/cdn.vox-cdn.com/uploads/chorus_image/image/58214873/usa_today_10499599.0.jpg
Donovan Mitchell,2,51,33.1,22.4,0.421,0.324,0.796,https://pbs.twimg.com/profile_images/1094805273368178688/gmVp57b2_400x400.jpg
Klay Thompson,2,52,34.1,21.9,0.47,0.388,0.81,https://www.nbcsports.com/bayarea/sites/csnbayarea/files/styles/article_hero_image/public/2019/01/15/klayzazaap.jpg?itok=OuhFCXaN
Russell Westbrook,1,45,35.5,21.4,0.417,0.248,0.643,https://cdn.vox-cdn.com/thumbor/Y7DsxqHkTHm0R0kq6sCFaQS5ae8=/0x0:3044x2029/1200x800/filters:focal(1297x585:1783x1071)/cdn.vox-cdn.com/uploads/chorus_image/image/59527571/usa_today_10805260.0.jpg
DeMar DeRozan,2,51,35.2,21.3,0.464,0.171,0.82,https://cdn-s3.si.com/s3fs-public/2018/11/12/demar-derozan-learns-of-spurs-trade.jpg
CJ McCollum,2,52,34.1,21.2,0.464,0.365,0.828,https://www.wweek.com/resizer/2rhuiXi7DHIPoLBSQ22QhQiuXew=/1200x0/filters:quality(100)/s3.amazonaws.com/arc-wordpress-client-uploads/wweek/wp-content/uploads/2017/05/30102956/McCollumShot-e1532584114262.jpg
LaMarcus Aldridge,5,55,32.6,21.2,0.515,0.19,0.855,https://imagesvc.timeincapp.com/v3/fan/image?url=https%3A%2F%2Fairalamo.com%2Fwp-content%2Fuploads%2Fgetty-images%2F2018%2F11%2F1066331572.jpeg&c=sc&w=850&h=560
Jrue Holiday,1,55,36.7,20.9,0.472,0.318,0.758,https://www.nbcsports.com/philadelphia/sites/csnphilly/files/styles/article_hero_image/public/2018/02/25/ap-jrue-holiday-new-orleans-pelicans.jpg?itok=q4cyvXCr
Tobias Harris,3,55,34.6,20.9,0.496,0.434,0.877,https://cdn.vox-cdn.com/thumbor/ED_yYfom2v9V5-6jpynCPONuAm8=/0x0:3279x2186/1200x800/filters:focal(1335x234:1859x758)/cdn.vox-cdn.com/uploads/chorus_image/image/63032174/usa_today_12141081.0.jpg
Luka Doncic,3,51,32.1,20.6,0.431,0.348,0.733,https://cdn.vox-cdn.com/thumbor/MI4z-e_uEZyYIXG33va77LnAG-0=/0x0:3461x2306/1200x800/filters:focal(1096x413:1648x965)/cdn.vox-cdn.com/uploads/chorus_image/image/62834849/usa_today_11980119.0.jpg
Nikola Vucevic,5,53,31.4,20.6,0.52,0.38,0.775,https://imagesvc.timeincapp.com/v3/fan/image?url=https://orlandomagicdaily.com/wp-content/uploads/getty-images/2018/04/934411062-orlando-magic-v-los-angeles-clippers.jpg.jpg&c=sc&w=1600&h=1101
Buddy Hield,2,54,31.6,20.4,0.478,0.455,0.862,https://www.nba.com/kings/sites/kings/files/styles/hi_res_full_width/public/gettyimages-938925290.jpg?itok=plklxw6b
Mike Conley,1,53,33.8,20.4,0.433,0.365,0.846,https://cdn.vox-cdn.com/thumbor/ELkWAsqWyA9TxacjIfJ_FvUUkVM=/0x0:3111x2074/1200x800/filters:focal(1152x144:1648x640)/cdn.vox-cdn.com/uploads/chorus_image/image/62866812/usa_today_11835892.0.jpg
Nikola Jokic,5,53,31.3,20.2,0.508,0.304,0.843,https://cdn.vox-cdn.com/thumbor/Xsf42kYjPQ6Uemz-gYEZD883V5k=/0x0:3824x2545/1200x800/filters:focal(1378x471:1988x1081)/cdn.vox-cdn.com/uploads/chorus_image/image/58712525/usa_today_10574479.0.jpg
Julius Randle,5,48,29.6,20.1,0.544,0.34,0.739,https://www.nba.com/pelicans/sites/pelicans/files/styles/story_main_photo/public/julius-randle-easy-button.jpg?itok=lpdLT_po
D'Angelo Russell,1,55,29.8,19.8,0.437,0.38,0.82,https://www.nba.com/nets/sites/nets/files/getty-images-931621990.jpg
